permno,ticker,comnam,permco
79500,SYBR,SYNERGY BRANDS INC,12361
79725,ORCI,OPINION RESEARCH CORP,12511
85415,MBAY,MEDIABAY INC,32099
79712,LNET,LODGENET ENTERTAINMENT CORP,12478
37402,FSTR,FOSTER L B CO,1852
11995,COKE,COCA COLA BOTTLING CO CONS,1035
57251,NBSC,NEW BRUNSWICK SCIENTIFIC INC,3139
75828,ERTS,ELECTRONIC ARTS INC,10303
64135,WMS,W M S INDUSTRIES INC,4919
88978,LRNS,EXCELLIGENCE LEARNING CORP,41557
52716,HB,HILLENBRAND INDS INC,20913
90017,XTXI,CROSSTEX ENERGY INC,44819
89411,SNT,SENESCO TECHNOLOGIES INC,43166
89388,DWMA,DICKIE WALKER MARINE INC,43141
23309,HLT,HILTON HOTELS CORP,20915
88651,VAST,VASTERA INC,39179
76020,VLFG,VALLEY FORGE SCIENTIFIC CORP,10360
64195,PTNX,PRINTRONIX INC,3719
80050,UFPT,U F P TECHNOLOGIES INC,12706
27756,STR,QUESTAR CORP,21476
52978,HAS,HASBRO INC,20887
79444,SGY,STONE ENERGY CORP,29930
88597,POL,POLYONE CORP,39140
38682,RRD,DONNELLEY R R & SONS CO,20594
90447,PED,SMARTPROS LTD,45702
79922,TLB,TALBOTS INC,30050
85382,VLTS,VALENTIS INC,15689
39757,WEDC,WHITE ELECTRONIC DESIGNS CORP,20326
90335,ALY,ALLIS CHALMERS CORP,22169
41443,AT,ALLTEL CORP,20057
11851,AORGB,ALLEN ORGAN CO,293
90133,PCOP,PHARMACOPEIA DRUG DISCOVERY INC,45087
79950,CLST,CELLSTAR CORP,12640
83657,,NETOPIA INC,14721
75603,CRUS,CIRRUS LOGIC INC,10210
40970,HEC,HARKEN ENERGY CORP,2183
80236,DSPG,D S P GROUP INC,12846
48144,KLIC,KULICKE & SOFFA INDS INC,2552
11656,CADA,CAM COMM SOLUTIONS INC,9478
16249,,B S D MEDICAL CORP DE,674
88937,SMD,SINGING MACHINE CO INC,13422
60709,UWN,NEVADA GOLD & CASINOS INC,3435
49488,LXU,L S B INDUSTRIES INC,21072
79628,UTEK,ULTRATECH INC,12440
89451,PKDY,PACKAGING DYNAMICS CORP,43330
80915,,PROTECTION ONE INC,13340
40694,TXI,TEXAS INDUSTRIES INC,21736
86964,FFIV,F 5 NETWORKS INC,16561
41080,CMI,CUMMINS INC,20543
79994,GRIL,GRILL CONCEPTS INC,12647
79666,TLF,LEATHER FACTORY INC,29969
79850,MIKN,MIKOHN GAMING CORP,12589
80713,CKC,COLLINS & AIKMAN CORP NEW,30440
77157,OI,OWENS ILL INC,22462
89313,ZGEN,ZYMOGENETICS INC,42788
72961,SVC,STEWART & STEVENSON SVCS INC,4252
41320,SLI,S L INDUSTRIES INC,21546
77599,ADAT,AUTHENTIDATE HOLDING CORP,11515
83957,QEPC,Q E P INC,14957
90705,OPTC,OPTELECOM INC,3392
77015,SE,7 ELEVEN INC,25434
78200,SHFL,SHUFFLE MASTER INC,11831
64936,D,DOMINION RESOURCES INC VA NEW,20592
89905,CALD,CALLIDUS SOFTWARE INC,44617
56937,NTY,N B T Y INC,5651
88855,SP,SPECIALTY LABORATORIES INC,41083
83347,ACTT,A C T TELECONFERENCING INC,14421
82544,ADAM,A D A M INC,14114
83850,CCCG,C C C INFORMATION SVCS GROUP INC,14914
85214,TENT,TOTAL ENTERTAINMENT REST CORP,15597
81142,CAPA,CAPTARIS INC,13460
33532,ESCA,ESCALADE INC,1582
14322,S,SEARS ROEBUCK & CO,21592
88857,YORW,YORK WATER COMPANY,27610
88917,AGR,AGERE SYSTEMS INC,41358
77780,CENT,CENTRAL GARDEN & PET CO,11617
41241,HWKN,HAWKINS INC,2238
89636,PXP,PLAINS EXPLORATION & PROD CO,43802
12570,ITT,I T T INDUSTRIES INC IND,20964
90505,LVS,LAS VEGAS SANDS CORP,46024
88370,QBAK,QUALSTAR CORP,37739
83832,LVB,STEINWAY MUSICAL INSTRUMENTS INC,31719
75342,MTH,MERITAGE HOMES CORP,20642
88817,EPL,ENERGY PARTNERS LTD,41004
81756,TXCC,TRANSWITCH CORP,13776
76946,TRNS,TRANSCAT INC,4560
11691,ALEX,ALEXANDER & BALDWIN INC,157
89048,AIQ,ALLIANCE IMAGING INC DE,11188
89925,ZHNE,ZHONE TECHNOLOGIES INC,44633
74580,BIOI,BIOSOURCE INTERNATIONAL INC,6053
82549,AMXC,A M X CORP,14133
83950,SPPI,SPECTRUM PHARMACEUTICALS INC,14977
89227,IGI,IMAGISTICS INTERNATIONAL INC,42414
80019,PRKR,PARKERVISION INC,12624
34948,OXM,OXFORD INDUSTRIES INC,21348
11976,BMC,B M C SOFTWARE INC,9905
88846,GBI,GENESIS BIOVENTURES INC,41074
40125,CSC,COMPUTER SCIENCES CORP,20493
80912,,T G C INDUSTRIES INC,27333
84779,JRC,JOURNAL REGISTER CO,31978
81109,TBUS,DIGITAL RECORDERS INC,13415
66852,RELL,RICHARDSON ELECTRONICS LTD,6533
40062,BLSI,BOSTON LIFE SCIENCES INC,6520
30147,DNEX,DIONEX CORP,5713
88436,ENDP,ENDO PHARMACEUTICALS HLDGS INC,37931
38850,SKY,SKYLINE CORP,21623
23393,CHD,CHURCH & DWIGHT INC,1103
14461,SNSTA,SONESTA INTERNATIONAL HOTELS CP,4178
80069,ARWR,ARROWHEAD RESEARCH CORP,12204
85768,IES,INTEGRATED ELECTRICAL SRVCS INC,34633
76149,SWY,SAFEWAY INC,22765
90609,NOVL,NOVELL INC,7383
29532,FA,FAIRCHILD CORP,20267
12253,FRSH,FRESH BRANDS INC,10045
85477,LGTY,LOGILITY INC,15743
77486,UQM,U Q M TECHNOLOGIES INC,29472
75316,BID,SOTHEBYS HOLDINGS INC,21635
80049,TQNT,TRIQUINT SEMICONDUCTOR INC,12675
82726,,INTERNATIONAL DISPLAYWORKS INC,14223
89818,TRY,TRIARC COMPANIES INC,20550
88675,SFCC,S F B C INTERNATIONAL INC,40154
11315,FTG,FARMSTEAD TELEPHONE GROUP INC,9167
87265,VITR,VITRIA TECHNOLOGY INC,17126
86249,CEDC,CENTRAL EUROPEAN DISTRIBUTN CORP,16232
70500,CCE,COCA COLA ENTERPRISES INC,20469
75286,CALA,CATALINA LIGHTING INC,20407
90031,GTXI,G T X INC,44887
64258,ICOC,I C O INC NEW,2267
82638,ESC,EMERITUS CORP,31193
88335,DNDN,DENDREON CORP,37710
88785,AEGN,AEROGEN INC,40977
76226,VIA,VIACOM INC,21866
39220,SMP,STANDARD MOTOR PRODUCTS INC,21658
84291,ATAC,AFTERMARKET TECHNOLOGY CORP,15233
86355,DHB,D H B INDUSTRIES INC,16274
83244,CENX,CENTURY ALUMINUM CO,14479
82768,BDR,BLONDER TONGUE LABORATORIES INC,31377
90277,BUCY,BUCYRUS INTERNATIONAL INC NEW,13691
85424,DRQ,DRIL QUIP INC,32108
90402,BDAY,CELEBRATE EXPRESS INC,45710
47888,GRB,GERBER SCIENTIFIC INC,20812
79150,ANIK,ANIKA THERAPEUTICS INC,12119
79251,BELM,BELL MICROPRODUCTS INC,12202
85395,PVSW,PERVASIVE SOFTWARE INC,15718
88469,SRTI,SUNRISE TELECOM INC,37959
31480,EML,EASTERN CO,20622
85567,OYOG,OYO GEOSPACE CORP,15841
27642,CAP,CREATIVE COMPUTER APPLICS INC,6413
88332,CPST,CAPSTONE TURBINE CORP,37707
88417,ACLS,AXCELIS TECHNOLOGIES INC,37913
85572,SONT,SONTRA MEDICAL CORP,15819
85739,MRGE,MERGE TECHNOLOGIES INC,15932
42796,MDP,MEREDITH CORP,21189
12458,RT,RYERSON TULL INC NEW,20978
89757,KMRT,KMART HOLDING CORP,44118
85716,TIER,TIER TECHNOLOGIES INC,15895
10574,BNT,BENTLEY PHARMACEUTICALS INC,9674
79393,EWEB,EUROWEB INTERNATIONAL CORP,12310
83344,PRRR,PIONEER RAILCORP,31511
11600,XRAY,DENTSPLY INTERNATIONAL INC NEW,9424
68145,SBEI,S B E INC,3984
20504,CACH,CACHE INC,398
85846,SHOE,SHOE PAVILLION INC,15981
79499,INOD,INNODATA ISOGEN INC,12347
87656,AKC,ACCESS PHARMACEUTICALS INC,36949
24803,WIN,WINN DIXIE STORES INC,21926
11731,AIN,ALBANY INTERNATIONAL CORP NEW,9550
54244,BDL,FLANIGANS ENTERPRISES INC,20733
65402,AOS,SMITH A O CORP,21625
76317,JMAR,J M A R TECHNOLOGIES INC,10574
81275,SMTL,SEMITOOL INC,13540
10649,PTSI,P A M TRANSPORTATION SVCS INC,8551
11043,PMD,PSYCHEMEDICS CORP,8909
42067,XNR,XANSER CORP,21031
65883,BLS,BELLSOUTH CORP,20290
85349,ARM,ARVINMERITOR INC,32092
31318,EZM,E Z EM INC,6512
79846,MACE,MACE SECURITY INTL INC,12564
88539,LEXR,LEXAR MEDIA INC,38437
65083,ANSI,ADVANCED NEUROMODULATION SYS INC,3744
83391,LANV,LANVISION SYSTEMS INC,14535
82859,REV,REVLON INC,23373
80080,EMN,EASTMAN CHEMICAL CO,30070
81558,MWH,BAYCORP HOLDINGS LTD,13680
79845,LUCY,LUCILLE FARMS INC,12528
79857,PTEN,PATTERSON U T I ENERGY INC,12530
79467,ACTL,ACTEL CORP,12321
10012,DPAC,D P A C TECHNOLOGIES CORP,7969
50092,LFB,LONGVIEW FIBRE CO,2645
78816,CHMP,CHAMPION INDUSTRIES INC,11905
85908,GRA,GRACE W R & CO DEL NEW,34684
76605,AZO,AUTOZONE INC,29009
10772,,S E D INTERNATIONAL HOLDINGS INC,8668
85863,COLM,COLUMBIA SPORTSWEAR COMPANY,16029
65270,RCMT,R C M TECHNOLOGIES INC,5660
80286,TSCO,TRACTOR SUPPLY CO NEW,12863
51984,MAXE,MAX & ERMAS RESTAURANTS INC,6443
82207,TRKN,TRIKON TECHNOLOGIES INC,13956
89908,CONN,CONNS INC,44619
87057,BPUR,BIOPURE CORP,16691
78916,WPI,WATSON PHARMACEUTICALS INC,11965
44353,PNN,PENN ENGINEERING & MFG CORP,21373
83592,CTE,CARDIOTECH INTERNATIONAL INC,31655
39301,,GOLDEN CYCLE GOLD CORP,6119
90353,BECN,BEACON ROOFING SUPPLY INC,45555
83597,FDS,FACTSET RESEARCH SYSTEMS INC,31661
76101,VRC,VARCO INTERNATIONAL INC DEL,10514
77881,BDG,BANDAG INC,20262
37460,TLX,TRANS LUX CORP,21767
27959,DUK,DUKE ENERGY CORP,20608
